epoch,loss,accuracy,top_5_accuracy,val_loss,val_accuracy,val_top_5_accuracy,elapsed_s
1,5.963710784912109,0.0106726698577404,0.0446371808648109,4.731469631195068,0.076947771012783,0.2432577013969421,2504.094503879547
2,4.836367130279541,0.0643538162112236,0.209348514676094,3.868555784225464,0.2269905805587768,0.5210830569267273,2204.34998869896
3,4.227784156799316,0.1528734117746353,0.3978019058704376,3.396395206451416,0.3150684833526611,0.6345248222351074,1921.943516492844
4,3.845198392868042,0.2343485206365585,0.5136652588844299,2.9799184799194336,0.4372859597206116,0.7237799763679504,1802.1881499290464
5,3.586999654769897,0.2960937619209289,0.5802833437919617,2.762838125228882,0.4842679798603058,0.770440936088562,1674.6504697799685
6,3.403771162033081,0.3414459824562073,0.6228945851325989,2.5496511459350586,0.5399186611175537,0.811001718044281,1763.540170431137
7,3.253025531768799,0.3803098499774933,0.6567267179489136,2.423357963562012,0.5770547986030579,0.831442654132843,1633.142661571503
8,3.139822244644165,0.4078786969184875,0.6793167591094971,2.3520150184631348,0.5951412916183472,0.8430008292198181,1741.7390184402466
9,3.053708553314209,0.433792382478714,0.6973781585693359,2.2814857959747314,0.6242508292198181,0.8528467416763306,1667.7578644752502
10,2.9810712337493896,0.4506355822086334,0.7120895385742188,2.19054913520813,0.649935781955719,0.8697559833526611,1836.843060731888
11,2.9279356002807617,0.4637844264507293,0.7216498851776123,2.168611764907837,0.6536815166473389,0.871682345867157,1721.7400176525116
12,2.8657870292663574,0.4807203412055969,0.7349046468734741,2.1291537284851074,0.6603167653083801,0.875321090221405,1575.364937543869
13,2.833989143371582,0.4916048645973205,0.7384666204452515,2.082300901412964,0.6807577013969421,0.8811001777648926,1598.2342953681946
14,2.787848949432373,0.5037076473236084,0.7471795678138733,2.0615668296813965,0.685680627822876,0.8844178318977356,1574.0704391002655
15,2.7554259300231934,0.5116657614707947,0.754687488079071,2.0232901573181152,0.6943492889404297,0.8895547986030579,1656.8057272434237
16,2.722773790359497,0.5208818912506104,0.7597192525863647,2.014600276947021,0.6993792653083801,0.8879494667053223,1650.7206871509552
17,2.6883115768432617,0.5308395028114319,0.764843761920929,1.9791728258132928,0.7093321681022644,0.8968321681022644,1589.833350896835
18,2.6575803756713867,0.5398172736167908,0.770047664642334,1.9560482501983645,0.7111515402793884,0.9012200236320496,1579.5399878025055
19,2.637928009033203,0.5438029766082764,0.7734110355377197,1.958191156387329,0.7174657583236694,0.9012200236320496,1578.1660125255585
20,2.611319303512573,0.5525423884391785,0.7773834466934204,1.90702760219574,0.7287029027938843,0.9053938388824464,1641.5345811843872
21,2.5915467739105225,0.5588585734367371,0.7803495526313782,1.901674032211304,0.7327696681022644,0.907320201396942,1592.963651895523
22,2.567867040634156,0.5630826354026794,0.7845736145973206,1.891801834106445,0.732876718044281,0.9072132110595704,1626.6824481487274
23,2.551074504852295,0.5679687261581421,0.7898834943771362,1.872889518737793,0.7415453791618347,0.9094606041908264,1572.0312955379486
24,2.530123949050904,0.5750529766082764,0.7917107939720154,1.8609721660614007,0.7449700236320496,0.9078553318977356,1582.451726913452
